unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2018.917,2019.083,Y,15-49,PMA,MW,0.2688,0.0267,0.2955,,0.2552,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Nord
854,2018.917,2019.083,Y,15-49,PMA,MW,0.2629,0.0215,0.2844,,0.2048,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Ouest
854,2018.917,2019.083,Y,15-49,PMA,MW,0.2945,0,0.2945,,0.2566,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Sud
854,2018.917,2019.083,Y,15-49,PMA,MW,0.2842,0.0077,0.292,,0.2298,N,,N,,N,,None,None,N,,N,,,,,,,,,Est
854,2018.917,2019.083,Y,15-49,PMA,MW,0.3835,0.0046,0.3881,,0.151,N,,N,,N,,None,None,N,,N,,,,,,,,,Hauts Bassins
854,2018.917,2019.083,Y,15-49,PMA,MW,0.382,0.019,0.401,,0.2829,N,,N,,N,,None,None,N,,N,,,,,,,,,Nord
854,2018.917,2019.083,Y,15-49,PMA,MW,0.3429,0.0227,0.3656,,0.1609,N,,N,,N,,None,None,N,,N,,,,,,,,,Plateau Central
854,2018.917,2019.083,Y,15-49,PMA,MW,0.1491,0,0.1491,,0.3315,N,,N,,N,,None,None,N,,N,,,,,,,,,Sahel
854,2018.917,2019.083,Y,15-49,PMA,MW,0.258,0,0.258,,0.1466,N,,N,,N,,None,None,N,,N,,,,,,,,,Sud-Ouest
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.1459,0.0093,0.1553,,0.0333,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre (including Ouagadougou)
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0598,0,0.0598,,0.0746,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Boucle de Mouhoun
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.1056,0.0017,0.1074,,0.0436,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Sud
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0757,0,0.0757,,0.0279,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Plateau Central
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0074,0.0025,0.0099,,0.0197,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Est
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.013,0,0.013,,0.0139,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Nord
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.1352,0.0044,0.1396,,0.0418,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Ouest
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0635,0,0.0635,,0.0439,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Est
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0764,0.0026,0.079,,0.0734,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Nord
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.202,0.0116,0.2136,,0.0891,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Cascades
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.1852,0.0074,0.1926,,0.0643,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Hauts Bassins
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.0282,0,0.0282,,0.059,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Sahel
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.1463,0,0.1463,,0.0482,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Sud-Ouest
